BOM ID,Inventory ID,Revision Descr.,Revision,Status,Notes,Type,Item ID,Qty Required,UOM,ACTIVITIES,Production Line,CLASS,Production Line.1,CLASS.1,Pax,Machine,Time (min)
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Labor,L01 LABELING/CODING,0.124499976967504,MIN,L01 LABELING/CODING,L01 - L1 COATINGS,DL,L01,DL,1,1,0.1245
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Labor,L01 MIXING,0.572298465095517,MIN,L01 MIXING,L01 - L1 COATINGS,DL,L01,VOH,1,1,0.5723
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Labor,L01 MILLING,1.36900035594009,MIN,L01 MILLING,L01 - L1 COATINGS,DL,L01,FOH,1,1,1.369
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Labor,L01 FILLING,0.149900091588956,MIN,L01 FILLING,L01 - L1 COATINGS,DL,L01,DL,2,1,0.1499
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Labor,L01 PACKING/PALLETIZ,0.125499960467512,MIN,L01 PACKING/PALLETIZ,L01 - L1 COATINGS,DL,L01,VOH,2,0,0.1255
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Overhead,L01 LABELING/CODING,0.1245,MIN,L01 LABELING/CODING,L01 VOH,VOH,L01,FOH,1,1,0.1245
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Overhead,L01 MIXING,0.5723,MIN,L01 MIXING,L01 VOH,VOH,L01,DL,1,1,0.5723
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Overhead,L01 MILLING,2.738,MIN,L01 MILLING,L01 VOH,VOH,L01,VOH,1,1,2.738
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Overhead,L01 FILLING,0.1499,MIN,L01 FILLING,L01 VOH,VOH,L01,FOH,2,1,0.1499
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Overhead,L01 PACKING/PALLETIZ,0.1255,MIN,L01 PACKING/PALLETIZ,L01 VOH,VOH,L01,DL,2,0,0.1255
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Overhead,L01 LABELING/CODING,0.1245,MIN,L01 LABELING/CODING,L01 FOH,FOH,L01,VOH,1,1,0.1245
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Overhead,L01 MIXING,0.5723,MIN,L01 MIXING,L01 FOH,FOH,L01,FOH,1,1,0.5723
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Overhead,L01 MILLING,2.738,MIN,L01 MILLING,L01 FOH,FOH,L01,DL,1,1,2.738
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Overhead,L01 FILLING,0.1499,MIN,L01 FILLING,L01 FOH,FOH,L01,VOH,2,1,0.1499
1AF2202L,1AF2202L,PG ANTI FOULING PAINT RED 4L,03,A,CRN RD23-CR055,Overhead,L01 PACKING/PALLETIZ,0.1255,MIN,L01 PACKING/PALLETIZ,L01 FOH,FOH,L01,FOH,2,0,0.1255
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Labor,L01 LABELING/CODING,0.124499976967504,MIN,L01 LABELING/CODING,L01 - L1 COATINGS,DL,L01,DL,1,1,0.1245
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Labor,L01 MIXING,0.142800022848004,MIN,L01 MIXING,L01 - L1 COATINGS,DL,L01,VOH,1,1,0.1428
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Labor,L01 MILLING,0.342499768812656,MIN,L01 MILLING,L01 - L1 COATINGS,DL,L01,FOH,1,1,0.3425
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Labor,L01 FILLING,0.0629999836200043,MIN,L01 FILLING,L01 - L1 COATINGS,DL,L01,DL,2,1,0.063
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Labor,L01 PACKING/PALLETIZ,0.125499960467512,MIN,L01 PACKING/PALLETIZ,L01 - L1 COATINGS,DL,L01,VOH,2,0,0.1255
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Overhead,L01 LABELING/CODING,0.1245,MIN,L01 LABELING/CODING,L01 VOH,VOH,L01,FOH,1,1,0.1245
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Overhead,L01 MIXING,0.1428,MIN,L01 MIXING,L01 VOH,VOH,L01,DL,1,1,0.1428
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Overhead,L01 MILLING,0.685,MIN,L01 MILLING,L01 VOH,VOH,L01,VOH,1,1,0.685
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Overhead,L01 FILLING,0.063,MIN,L01 FILLING,L01 VOH,VOH,L01,FOH,2,1,0.063
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Overhead,L01 PACKING/PALLETIZ,0.1255,MIN,L01 PACKING/PALLETIZ,L01 VOH,VOH,L01,DL,2,0,0.1255
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Overhead,L01 LABELING/CODING,0.1245,MIN,L01 LABELING/CODING,L01 FOH,FOH,L01,VOH,1,1,0.1245
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Overhead,L01 MIXING,0.1428,MIN,L01 MIXING,L01 FOH,FOH,L01,FOH,1,1,0.1428
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Overhead,L01 MILLING,0.685,MIN,L01 MILLING,L01 FOH,FOH,L01,DL,1,1,0.685
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Overhead,L01 FILLING,0.063,MIN,L01 FILLING,L01 FOH,FOH,L01,VOH,2,1,0.063
1AF29233,1AF29233,PG ANTI FOULING PAINT RED 1L,03,A,CRN RD23-CR055,Overhead,L01 PACKING/PALLETIZ,0.1255,MIN,L01 PACKING/PALLETIZ,L01 FOH,FOH,L01,FOH,2,0,0.1255
1APC2009,1APC2009,ALL PURPOSE EPOXY  GALLON,03,A,CRN RD23-CR055,Labor,L06 LABELING/CODING,0.464000519680582,MIN,L06 LABELING/CODING,L06 - L6 EPOXY LINE,DL,L06,DL,1,1,0.464
1APC2009,1APC2009,ALL PURPOSE EPOXY  GALLON,03,A,CRN RD23-CR055,Labor,L06 FILLING,0.18999992400003,MIN,L06 FILLING,L06 - L6 EPOXY LINE,DL,L06,VOH,2,1,0.19
1APC2009,1APC2009,ALL PURPOSE EPOXY  GALLON,03,A,CRN RD23-CR055,Labor,L06 PACKING/PALLETIZ,0.1,MIN,L06 PACKING/PALLETIZ,L06 - L6 EPOXY LINE,DL,L06,FOH,2,0,0.1
1APC2009,1APC2009,ALL PURPOSE EPOXY  GALLON,03,A,CRN RD23-CR055,Overhead,L06 LABELING/CODING,0.464,MIN,L06 LABELING/CODING,L06 VOH,VOH,L06,DL,1,1,0.464
1APC2009,1APC2009,ALL PURPOSE EPOXY  GALLON,03,A,CRN RD23-CR055,Overhead,L06 FILLING,0.095,MIN,L06 FILLING,L06 VOH,VOH,L06,VOH,2,1,0.095
1APC2009,1APC2009,ALL PURPOSE EPOXY  GALLON,03,A,CRN RD23-CR055,Overhead,L06 PACKING/PALLETIZ,0.1,MIN,L06 PACKING/PALLETIZ,L06 VOH,VOH,L06,FOH,2,0,0.1
1APC2009,1APC2009,ALL PURPOSE EPOXY  GALLON,03,A,CRN RD23-CR055,Overhead,L06 LABELING/CODING,0.464,MIN,L06 LABELING/CODING,L06 FOH,FOH,L06,DL,1,1,0.464
1APC2009,1APC2009,ALL PURPOSE EPOXY  GALLON,03,A,CRN RD23-CR055,Overhead,L06 FILLING,0.095,MIN,L06 FILLING,L06 FOH,FOH,L06,VOH,2,1,0.095
1APC2009,1APC2009,ALL PURPOSE EPOXY  GALLON,03,A,CRN RD23-CR055,Overhead,L06 PACKING/PALLETIZ,0.1,MIN,L06 PACKING/PALLETIZ,L06 FOH,FOH,L06,FOH,2,0,0.1
